OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1307,2020-019AP,2025-10-30T17:49:05.022336,15.06392181,.0001379,53.0560,9.9733,96.4585,263.6561,0,U,45397,999,31024,.26490623E-3,.3666E-4,0
STARLINK-1312,2020-019AQ,2025-10-31T08:00:03.000384,16.00182346,.00054387,53.0407,316.7452,27.6059,295.9932,0,U,45398,999,585,.13771537E-2,.727489E-2,.25337612E-3
STARLINK-1255,2020-019AR,2025-10-30T10:16:45.437088,15.29919590,.0001417,53.0507,359.1071,52.7261,307.3867,0,U,45399,999,31035,.51905916E-3,.14914E-3,0
STARLINK-1260,2020-019AW,2025-10-30T13:03:47.899296,15.06388139,.00013192,53.0554,0.8620,79.6862,280.4276,0,U,45404,999,31024,-.33390981E-4,-.779E-5,0
STARLINK-1263,2020-019AX,2025-10-30T11:07:00.956928,15.06395703,.00014886,53.0560,1.2304,99.2506,260.8651,0,U,45405,999,31023,-.10365599E-3,-.1825E-4,0
STARLINK-1265,2020-019AY,2025-10-30T12:53:10.479840,15.06385514,.00012644,53.0553,0.8986,79.3792,280.7340,0,U,45406,999,31024,.18380459E-3,.2456E-4,0
STARLINK-1278,2020-019BA,2025-10-30T15:16:23.399616,15.32839426,.00014057,53.0557,28.4167,14.7742,345.3300,0,U,45408,999,30987,.23841461E-2,.77103E-3,0
STARLINK-1296,2020-019BE,2025-10-30T12:58:28.915680,15.06398502,.00013901,53.0550,0.8789,87.2206,272.8942,0,U,45412,999,31024,.88462114E-4,.1036E-4,0
STARLINK-1298,2020-019BF,2025-10-31T06:03:23.916096,15.52439648,.00081711,53.0482,333.8955,311.2923,48.7382,0,U,45413,999,31078,.18201496E-2,.114502E-2,0
STARLINK-1309,2020-019BG,2025-10-30T11:44:10.176288,15.06398723,.00013209,53.0548,1.1138,98.1420,261.9719,0,U,45414,999,31022,.3562058E-3,.5028E-4,0
STARLINK-1316,2020-019BH,2025-10-31T07:27:47.082240,15.06376511,.00018089,53.0566,357.4208,55.3199,304.7961,0,U,45415,999,31038,-.26267594E-4,-.673E-5,0
STARLINK-1318,2020-019BJ,2025-10-31T07:17:30.111936,15.60271687,.00053645,53.0522,325.1795,34.8119,325.3244,0,U,45416,999,31082,.68396846E-3,.56805E-3,0
STARLINK-1286,2020-019BK,2025-10-31T08:00:03.000384,15.33106171,.00010562,53.0537,25.6836,82.5368,314.6228,0,U,45417,999,580,.31570524E-1,.1123298E-1,0
STARLINK-1308,2020-019BM,2025-10-30T11:34:52.898016,15.06387854,.00016429,53.0554,31.1405,109.9966,250.1200,0,U,45419,999,30984,-.90788264E-4,-.1633E-4,0
STARLINK-1329,2020-025A,2025-10-31T07:31:45.356160,15.06389528,.00013545,53.0549,327.4104,63.4246,296.6881,0,U,45531,999,30559,-.28713689E-3,-.4554E-4,0
STARLINK-1338,2020-025B,2025-10-31T06:12:10.321056,15.06391176,.00020541,53.0579,327.6546,109.1709,250.9503,0,U,45532,999,30558,.18461654E-3,.2469E-4,0
STARLINK-1350,2020-025E,2025-10-31T05:22:48.703584,15.32241461,.00016364,53.0731,279.4395,64.2594,295.8575,0,U,45535,999,30628,.52969434E-3,.16388E-3,0
STARLINK-1362,2020-025H,2025-10-31T06:58:31.141344,15.06409369,.00015216,53.0559,327.2321,94.4483,265.6680,0,U,45538,999,30559,.5075769E-3,.7289E-4,0
STARLINK-1368,2020-025K,2025-10-31T07:05:13.926912,15.06407155,.00013837,53.0550,327.4935,93.1902,266.9246,0,U,45540,999,30558,.52394979E-3,.7533E-4,0
STARLINK-1371,2020-025M,2025-10-31T06:22:46.501536,15.06404936,.00015113,53.0556,327.6237,78.5763,281.5396,0,U,45542,999,30558,.13987144E-3,.1803E-4,0
STARLINK-1372,2020-025N,2025-10-31T07:15:50.770944,15.06404022,.00014545,53.0552,327.4600,91.3012,268.8144,0,U,45543,999,30468,.62238547E-4,.646E-5,0
STARLINK-1373,2020-025P,2025-10-31T06:06:51.698592,15.06399345,.00017685,53.0571,327.6759,111.8270,248.2907,0,U,45544,999,30558,-.20645449E-4,-.589E-5,0
STARLINK-1294,2020-025W,2025-10-31T04:11:44.276928,15.59641226,.00080875,53.0487,261.2881,52.8085,307.3664,0,U,45551,999,30651,.14569213E-2,.119712E-2,0
STARLINK-1325,2020-025Z,2025-10-31T08:00:03.000384,15.60927066,.00015412,53.0547,253.4627,103.3794,244.1148,0,U,45554,999,577,.35674854E-2,.315991E-2,0
STARLINK-1327,2020-025AA,2025-10-31T07:02:35.115072,15.06404160,.0001841,53.0570,307.4967,99.9459,260.1738,0,U,45555,999,30586,.10556794E-3,.1291E-4,0
STARLINK-1356,2020-025AK,2025-10-31T07:07:53.823936,15.06397956,.00015992,53.0563,307.4811,103.8459,256.2708,0,U,45564,999,30586,-.45270922E-4,-.956E-5,0
STARLINK-1357,2020-025AL,2025-10-31T06:17:15.015840,15.32131745,.00074747,53.0614,292.7356,353.4608,6.6294,0,U,45565,999,30607,.31936559E-2,.101533E-2,0
STARLINK-1361,2020-025AN,2025-10-31T05:58:53.539392,15.06401296,.00013903,53.0536,307.6966,89.0527,271.0622,0,U,45567,999,30586,.70064189E-4,.762E-5,0
STARLINK-1363,2020-025AP,2025-10-31T08:00:03.000384,15.40801669,.00016294,53.0540,304.9916,76.1150,180.8565,0,U,45568,999,565,.27762578E-2,.116852E-2,0
STARLINK-1366,2020-025AQ,2025-10-31T08:00:03.000384,15.39501872,.00017035,53.0528,304.4381,73.6529,42.0958,0,U,45569,999,575,.26796623E-2,.107902E-2,0
STARLINK-1376,2020-025AR,2025-10-31T07:29:07.187136,15.06403496,.00014778,53.0560,307.4181,86.3425,273.7733,0,U,45570,999,30586,.69795117E-4,.758E-5,0
STARLINK-1320,2020-025AT,2025-10-31T08:00:03.000384,15.42825160,.00093806,53.0569,250.7245,22.1863,346.7014,0,U,45572,999,589,.40017783E-2,.182168E-2,0
STARLINK-1321,2020-025AU,2025-10-31T07:09:14.398848,15.06398326,.00015886,53.0557,297.4862,97.3779,262.7391,0,U,45573,999,30570,.30868668E-3,.4319E-4,0
STARLINK-1328,2020-025AX,2025-10-31T08:00:03.000384,15.67923535,.00107503,53.0508,273.7207,39.1826,335.5160,0,U,45576,999,595,.22581909E-2,.26251E-2,0
STARLINK-1331,2020-025AZ,2025-10-31T06:37:22.085184,15.06397723,.00012599,53.0540,297.5799,116.0102,244.1017,0,U,45578,999,30601,.94897741E-4,.1132E-4,0
STARLINK-1333,2020-025BB,2025-10-31T06:46:39.498240,15.06400788,.00016761,53.0553,307.5488,81.8439,278.2740,0,U,45580,999,30586,-.15348226E-3,-.2567E-4,0
STARLINK-1335,2020-025BC,2025-10-31T05:17:45.131136,15.06391987,.00014575,53.0554,297.8279,94.5381,265.5775,0,U,45581,999,30599,-.98882224E-4,-.1754E-4,0
STARLINK-1337,2020-025BD,2025-10-31T07:25:08.916672,15.06403405,.00014852,53.0554,297.4334,87.6883,272.4276,0,U,45582,999,30600,.21785646E-3,.2965E-4,0
STARLINK-1347,2020-025BH,2025-10-31T06:11:50.585568,15.31425731,.00077929,53.0557,283.2189,2.3656,357.7379,0,U,45586,999,30619,.26811243E-2,.83117E-3,0
STARLINK-1360,2020-025BK,2025-10-31T00:14:20.441184,15.75151108,.0005746,53.0440,203.1642,124.7400,235.4161,0,U,45588,999,30730,.88267639E-3,.136462E-2,0
STARLINK-1364,2020-025BL,2025-10-31T05:54:54.836928,15.06406108,.00013815,53.0554,297.7164,92.3034,267.8114,0,U,45589,999,30599,.55839429E-4,.55E-5,0
STARLINK-1365,2020-025BM,2025-10-31T06:17:27.799584,15.06399811,.00013809,53.0556,327.6415,91.3741,268.7406,0,U,45590,999,30559,.11650551E-3,.1454E-4,0
STARLINK-1443,2020-035D,2025-10-31T05:56:13.959456,15.06411428,.00016598,53.0548,287.7104,94.4170,265.7008,0,U,45660,999,29922,.37484451E-3,.5308E-4,0
STARLINK-1446,2020-035G,2025-10-31T03:05:37.263264,15.33580726,.0001337,53.0265,251.2183,54.1097,306.0028,0,U,45663,999,29972,.2168505E-2,.71708E-3,0
